Área;Casos desnutrición aguda (moderada severa);Proporción desnutrición aguda (moderada severa);Casos Retraso en talla;Proporción Retraso en talla;Casos desnutrición global;Proporción desnutrición global;Casos Exceso de peso;Proporción exceso de peso;Total población ;Año
Bosa;454;2,0;3520;15,5;1400;6,2;887;3,9;22706;2023
Kennedy;609;1,9;4681;14,3;1923;5,9;1230;3,7;32841;2023
Fontibón;171;1,6;1331;12,2;538;4,9;374;3,4;10890;2023
Engativá;409;1,9;2750;12,8;1275;5,9;710;3,3;21568;2023
Suba;571;2,0;3777;13,1;1785;6,2;885;3,1;28821;2023
Barrios Unidos;68;1,8;497;12,9;225;5,8;126;3,3;3853;2023
Teusaquillo;74;1,6;622;13,6;251;5,5;166;3,6;4580;2023
Los Mártires;84;2,0;673;16,1;285;6,8;160;3,8;4174;2023
Antonio Nariño;58;1,8;476;14,9;198;6,2;116;3,6;3204;2023
Puente Aranda;157;2,3;959;13,8;377;5,4;289;4,1;6966;2023
Candelaria;35;1,8;285;14,3;126;6,3;66;3,3;1993;2023
Rafael Uribe Uribe;181;1,5;1868;15,4;786;6,5;419;3,4;12148;2023
Ciudad Bolívar;396;1,5;4523;17,1;1839;7,0;860;3,3;26429;2023
Sumapaz;0;0,0;21;15,8;8;6,0;4;3,0;133;2023
Distrito;4372;1,8;36519;14,9;15419;6,3;8452;3,5;244783;2023
;;;;;;;;;;
