Área;Casos desnutrición aguda (moderada severa);Proporción desnutrición aguda (moderada severa);Casos Retraso en talla;Proporción Retraso en talla;Casos desnutrición global;Proporción desnutrición global;Casos Exceso de peso;Proporción exceso de peso;Total población ;Año
Bosa;931;4,4;2552;12,1;1167;5,6;883;4,2;21025;2013
Kennedy;1080;4,3;2660;10,7;1434;5,8;1056;4,2;24926;2013
Fontibón;261;4,1;684;10,7;326;5,1;252;4;6365;2013
Engativá;618;3,9;1961;12,4;967;6,1;762;4,8;15844;2013
Suba;991;4,4;2682;11,8;1342;5,9;938;4,1;22662;2013
Barrios Unidos;79;3,8;238;11,6;134;6,5;88;4,3;2057;2013
Teusaquillo;57;3,2;175;9,8;90;5;81;4,5;1790;2013
Los Mártires;81;4,1;308;15,5;138;7;105;5,3;1981;2013
Antonio Nariño;81;5,1;169;10,5;94;5,9;82;5,1;1602;2013
Puente Aranda;281;5,1;566;10,3;346;6,3;218;4;5480;2013
Candelaria;42;3,7;148;13,1;75;6,7;43;3,8;1126;2013
Rafael Uribe Uribe;506;5,8;1222;14;706;8,1;391;4,5;8756;2013
Ciudad Bolívar;654;4,4;2299;15,3;1169;7,8;548;3,6;15023;2013
Sumapaz;4;2,3;47;27,3;16;9,3;17;9,9;172;2013
Distrito;7927;4,5;23187;13,2;11565;6,6;7588;4,3;176230;2013
Usaquén;395;4,9;996;12,4;580;7,2;356;4,4;8045;2014
Chapinero;100;4,1;320;13;151;6,1;106;4,3;2464;2014
Santa Fe;186;4,4;724;17,1;305;7,2;175;4,1;4241;2014
San Cristóbal;554;4,6;1885;15,6;900;7,5;454;3,8;12077;2014
Usme;504;4,5;1872;16,6;813;7,2;587;5,2;11301;2014
Tunjuelito;177;4,1;553;12,9;266;6,2;178;4,2;4282;2014
Bosa;893;4,3;2755;13,3;1280;6,2;953;4,6;20755;2014
Kennedy;1026;4,3;3601;15;1847;7,7;1104;4,6;23932;2014
Fontibón;263;4,1;739;11,5;401;6,3;254;4;6414;2014
Engativá;530;3,5;1823;12,1;877;5,8;668;4,4;15108;2014
Suba;1030;4,5;2566;11,3;1342;5,9;929;4,1;22732;2014
Barrios Unidos;66;3,2;240;11,7;88;4,3;96;4,7;2049;2014
Teusaquillo;55;3,5;149;9,5;75;4,8;63;4;1573;2014
Los Mártires;97;4,6;307;14,7;168;8;95;4,6;2087;2014
Antonio Nariño;55;3,8;155;10,8;76;5,3;57;4;1431;2014
Puente Aranda;206;4,2;561;11,5;282;5,8;214;4,4;4899;2014
Candelaria;40;3,7;149;13,9;61;5,7;41;3,8;1075;2014
Rafael Uribe Uribe;363;4,7;956;12,5;503;6,6;387;5,1;7655;2014
Ciudad Bolívar;601;4,2;2425;16,9;1116;7,8;553;3,9;14316;2014
Sumapaz;1;0,9;17;15,5;3;2,7;12;10,9;110;2014
Distrito;7562;4,4;23728;13,7;11696;6,7;7585;4,4;173516;2014
Usaquén;370;4;1136;12,3;592;6,4;404;4,4;9232;2015
Chapinero;98;3,8;351;13,6;179;6,9;98;3,8;2582;2015
Santa Fe;160;4;661;16,6;294;7,4;177;4,5;3974;2015
San Cristóbal;444;4;1711;15,6;916;8,3;439;4;10983;2015
Usme;392;4,4;1335;14,8;619;6,9;436;4,8;8996;2015
Tunjuelito;184;4,2;575;13,1;280;6,4;189;4,3;4384;2015
Bosa;806;4,2;2532;13,1;1227;6,4;875;4,5;19316;2015
Kennedy;720;3,9;2015;11;1052;5,7;676;3,7;18327;2015
Fontibón;284;4;724;10,1;354;4,9;300;4,2;7159;2015
Engativá;589;3,6;1765;10,7;919;5,5;689;4,2;16559;2015
Suba;698;3,7;2043;10,8;1049;5,5;715;3,8;18922;2015
Barrios Unidos;56;2,6;240;11,1;85;3,9;123;5,7;2165;2015
Teusaquillo;61;3,4;158;8,8;111;6,2;66;3,7;1788;2015
Los Mártires;71;3,6;307;15,4;139;7;105;5,3;2000;2015
Antonio Nariño;45;3,4;180;13,7;101;7,7;42;3,2;1315;2015
Puente Aranda;164;3,9;434;10,2;230;5,4;167;3,9;4243;2015
Candelaria;53;5,5;116;11,9;79;8,1;27;2,8;972;2015
Rafael Uribe Uribe;284;4,9;791;13,6;431;7,4;241;4,1;5832;2015
Ciudad Bolívar;501;3,5;2190;15,4;998;7;596;4,2;14245;2015
Sumapaz;4;3,7;17;15,6;5;4,6;9;8,3;109;2015
Distrito;6313;3,9;20432;12,7;10282;6,4;6710;4,2;161023;2015
Usaquén;313;3,8;1113;13,6;552;6,8;326;4;8170;2016
Chapinero;92;3,6;327;12,9;161;6,4;103;4,1;2533;2016
Santa Fe;111;3,6;478;15,5;208;6,8;109;3,5;3076;2016
San Cristóbal;450;4,6;1727;17,7;835;8,6;396;4,1;9732;2016
Usme;402;4,4;1409;15,5;668;7,4;414;4,6;9086;2016
Tunjuelito;196;4,8;696;17,2;351;8,6;179;4,4;4058;2016
Bosa;594;4,1;1727;11,9;868;6;558;3,9;14489;2016
Kennedy;584;4,3;1496;11,1;818;6,1;519;3,9;13449;2016
Fontibón;220;3,5;597;9,6;309;5;263;4,2;6218;2016
Engativá;489;3,2;1609;10,6;845;5,6;635;4,2;15144;2016
Suba;481;3,4;1548;11,1;814;5,8;536;3,8;13992;2016
Barrios Unidos;66;3,1;220;10,4;97;4,6;90;4,3;2107;2016
Teusaquillo;67;3,7;157;8,7;111;6,2;69;3,8;1797;2016
Los Mártires;53;3,5;207;13,5;101;6,6;59;3,9;1528;2016
Antonio Nariño;52;4;146;11,3;77;6;44;3,4;1292;2016
Puente Aranda;129;4;322;10;180;5,6;121;3,8;3220;2016
Candelaria;32;3,9;102;12,4;62;7,5;29;3,5;824;2016
Rafael Uribe Uribe;263;4,6;748;13,1;399;7;245;4,3;5709;2016
Ciudad Bolívar;671;5,2;2104;16,4;1115;8,7;444;3,5;12823;2016
Sumapaz;7;6;24;20,7;10;8,6;11;9,5;116;2016
